10/10/2015  0      0%    182
25/10/2015  0      0%    182
28/10/2015  36     0%    179
20/11/2015  626    58%   136
20/11/2015  626    58%   136
28/11/2015  645    87%   120
08/12/2015  645    38%   120
06/03/2016  624    29%   120
10/03/2016  675    40%   116
18/04/2016  897    76%   84
02/05/2016  997    73%   73
05/05/2016  1038   73%   58
10/05/2016  1116   64%   47
15/05/2016  1174   80%   47
15/05/2016  1175   80%   36
21/05/2016  1183   80%   25 
04/06/2016  1201   75%   14
09/06/2016  1211   79%   12
11/06/2016  1226   79%   9
09/07/2016  1257   79%   8 
20/07/2016  1257   79%   8 
